time	real(VinPA[1])
1.76499999999999990E-7	-3.31563895167077760E-1
1.77000000000000002E-7	-3.13800155500471467E-1
1.77500000000000013E-7	-2.90801372058242746E-1
1.77999999999999980E-7	-2.64000727449866357E-1
1.78500000000000059E-7	-2.35021166884482779E-1
1.79000000000000026E-7	-2.05615008334618610E-1
1.79499999999999993E-7	-1.77585902559071762E-1
1.80000000000000027E-7	-1.52705422842409488E-1
1.80500000000000060E-7	-1.32513747692383133E-1
1.81000000000000050E-7	-1.18121684081210643E-1
1.81500000000000017E-7	-1.10135547920191135E-1
1.82000000000000051E-7	-1.08560010904655235E-1
1.82499999999999996E-7	-1.12747863154003491E-1
1.83000000000000007E-7	-1.21408686624125361E-1
1.83500000000000019E-7	-1.32682536858073918E-1
1.83999999999999986E-7	-1.44277500785192503E-1
1.84499999999999997E-7	-1.53644659230111014E-1
1.85000000000000031E-7	-1.58134186001608512E-1
1.85499999999999998E-7	-1.55421314224187324E-1
1.86000000000000032E-7	-1.43746988048037871E-1
1.86500000000000021E-7	-1.22065800517044654E-1
1.87000000000000055E-7	-9.01858034160319377E-2
1.87500000000000000E-7	-4.88307701690645768E-2
1.87999999999999989E-7	3.83284118557004128E-4
1.88500000000000001E-7	5.50562991578753103E-2
1.89000000000000012E-7	1.12186903913652314E-1
1.89500000000000002E-7	1.68399775382333505E-1
1.90000000000000036E-7	2.20149812019998148E-1
1.90500000000000003E-7	2.64171658697718925E-1
1.91000000000000014E-7	2.97678818139073931E-1
1.91500000000000026E-7	3.18551681864765701E-1
1.91999999999999993E-7	3.25477764719770679E-1
1.92500000000000004E-7	3.18017429146859865E-1
1.93000000000000060E-7	2.96594827462141719E-1
1.93500000000000050E-7	2.62421999808062401E-1
1.93999999999999995E-7	2.17370676815166775E-1
1.94499999999999984E-7	1.63804666217850259E-1
1.95000000000000018E-7	1.04362553139474712E-1
1.95500000000000007E-7	4.19014212705106104E-2
1.95999999999999996E-7	-2.07092323758904007E-2
1.96500000000000008E-7	-8.07107369997381596E-2
1.97000000000000020E-7	-1.35547695728544237E-1
1.97500000000000031E-7	-1.82932201381433712E-1
1.97999999999999976E-7	-2.20886906592039090E-1
1.98500000000000010E-7	-2.47776640282638105E-1
1.99000000000000021E-7	-2.62338568667935412E-1
1.99499999999999988E-7	-2.63713020940764986E-1
2.00000000000000044E-7	-2.51448654029632923E-1
2.00499999999999989E-7	-2.25672943422985917E-1
2.01000000000000023E-7	-1.87095941802759924E-1
2.01500000000000012E-7	-1.37059621990189817E-1
2.02000000000000002E-7	-7.75636591317142354E-2
2.02500000000000036E-7	-1.12532336622973994E-2
2.03000000000000025E-7	5.86434876585770049E-2
2.03500000000000059E-7	1.28435963419180732E-1
2.04000000000000004E-7	1.94151169832662451E-1
2.04499999999999993E-7	2.51772075914325377E-1
2.05000000000000027E-7	2.97584607033907433E-1
2.05499999999999972E-7	3.28242560350450852E-1
2.06000000000000005E-7	3.41214274445823129E-1
2.06500000000000039E-7	3.34991165782215328E-1
2.07000000000000028E-7	3.09267724553372414E-1
2.07500000000000062E-7	2.65034584362331938E-1
2.08000000000000007E-7	2.04569193268534466E-1
2.08500000000000041E-7	1.31318428729437509E-1
2.08999999999999986E-7	4.96784874845245561E-2
2.09499999999999975E-7	-3.53058531910263929E-2
2.10000000000000053E-7	-1.18300478148802202E-1
2.10499999999999998E-7	-1.94081998571568803E-1
2.11000000000000032E-7	-2.57981428400266166E-1
2.11499999999999977E-7	-3.06191154891592632E-1
2.12000000000000011E-7	-3.36030567596567220E-1
2.12500000000000000E-7	-3.46111704957908284E-1
2.12999999999999989E-7	-3.36392074278820052E-1
2.13500000000000068E-7	-3.08113438535146988E-1
2.14000000000000012E-7	-2.63636858500716764E-1
2.14500000000000046E-7	-2.06194316416080259E-1
2.14999999999999947E-7	-1.39550741893240238E-1
2.15500000000000025E-7	-6.77854849646411939E-2
2.16000000000000014E-7	5.13884635543144341E-3
2.16500000000000004E-7	7.56227865603679028E-2
2.17000000000000126E-7	1.40650186356629514E-1
2.17499999999999982E-7	1.97931825238770909E-1
2.18000000000000016E-7	2.45966921251467285E-1
2.18500000000000050E-7	2.84026298404954813E-1
2.19000000000000039E-7	3.12069055132501028E-1
2.19500000000000028E-7	3.30610556055466986E-1
2.19999999999999973E-7	3.40562878790493251E-1
2.20500000000000007E-7	3.43069297081851632E-1
2.21000000000000041E-7	3.39352158716635310E-1
2.21499999999999986E-7	3.30589139956015510E-1
2.21999999999999975E-7	3.17827088161842486E-1
2.22499999999999964E-7	3.01936387029867959E-1
2.22999999999999998E-7	2.83602878955242099E-1
2.23500000000000032E-7	2.63349619948889435E-1
2.24000000000000021E-7	2.41577670178073189E-1
2.24500000000000011E-7	2.18596344157199951E-1
2.25000000000000044E-7	1.94540532218631523E-1
2.25499999999999989E-7	1.69742423999509340E-1
2.26000000000000023E-7	1.44575598751340451E-1
2.26500000000000057E-7	1.19440716845312256E-1
2.27000000000000046E-7	9.47307846131195141E-2
2.27500000000000080E-7	7.07835893202905808E-2
2.28000000000000025E-7	4.78314036282243826E-2
2.28500000000000014E-7	2.59588007650281138E-2
2.29000000000000004E-7	5.07832193765559659E-3
2.29499999999999993E-7	-1.50513481885974354E-2
2.29999999999999982E-7	-3.46873696709810675E-2
2.30499999999999972E-7	-5.43338763390660251E-2
2.31000000000000050E-7	-7.45535784863313200E-2
2.31499999999999995E-7	-9.58558334208451335E-2
2.31999999999999984E-7	-1.18599350785263891E-1
2.32500000000000018E-7	-1.42906344068504021E-1
2.33000000000000007E-7	-1.68602122939570864E-1
2.33500000000000041E-7	-1.95191555792093796E-1
2.34000000000000030E-7	-2.21879471283461882E-1
2.34499999999999975E-7	-2.47636429757336174E-1
2.34999999999999964E-7	-2.71322076218977859E-1
2.35499999999999998E-7	-2.91766773556438341E-1
2.36000000000000076E-7	-3.07978085355988762E-1
2.36500000000000021E-7	-3.19269212566716565E-1
2.37000000000000011E-7	-3.25380473983839025E-1
2.37500000000000044E-7	-3.26557930276276487E-1
2.38000000000000034E-7	-3.23575001007803165E-1
2.38499999999999979E-7	-3.17689048301001709E-1
2.38999999999999968E-7	-3.10532432993604246E-1
2.39500000000000002E-7	-3.03963295726084670E-1
2.39999999999999991E-7	-2.99948637027206733E-1
