time	imag(VinPA[1])
2.97999999999999998E-7	5.84167940851340806E-2
2.98499999999999988E-7	3.29482897561562016E-2
2.98999999999999977E-7	5.88809719913686802E-3
2.99500000000000055E-7	-2.13732051123621103E-2
3.00000000000000000E-7	-4.73356746939441031E-2
3.00499999999999989E-7	-7.04492342568821606E-2
3.01000000000000068E-7	-8.93350882808842606E-2
3.01500000000000057E-7	-1.02830113784587374E-1
3.02000000000000002E-7	-1.10062870528181134E-1
3.02500000000000036E-7	-1.10502164613290677E-1
3.02999999999999980E-7	-1.03975608580662437E-1
3.03500000000000014E-7	-9.06591475271430092E-2
3.04000000000000048E-7	-7.10416520294351894E-2
3.04500000000000037E-7	-4.58769094978439007E-2
3.05000000000000071E-7	-1.61102158233270010E-2
3.05500000000000060E-7	1.71388761643326282E-2
3.06000000000000050E-7	5.27517555909964830E-2
3.06499999999999995E-7	8.96099719375856907E-2
3.06999999999999984E-7	1.26633156159365190E-1
3.07500000000000062E-7	1.62802527687973342E-1
3.08000000000000007E-7	1.97172428388735166E-1
3.08500000000000085E-7	2.28874138573015706E-1
3.08999999999999941E-7	2.57117096855874250E-1
3.09499999999999975E-7	2.81180685816307330E-1
3.10000000000000009E-7	3.00322504926755274E-1
3.10499999999999998E-7	3.14077521209744148E-1
3.11000000000000032E-7	3.22114074649345872E-1
3.11500000000000021E-7	3.24274827683812505E-1
3.12000000000000055E-7	3.20597184568528037E-1
3.12500000000000000E-7	3.11326157838443374E-1
3.12999999999999989E-7	2.96915195607948279E-1
3.13499999999999979E-7	2.78011568133511222E-1
3.14000000000000057E-7	2.55424719277206114E-1
3.14500000000000046E-7	2.30095920231362072E-1
3.14999999999999991E-7	2.03163577209204460E-1
3.15500000000000025E-7	1.75553407674523676E-1
3.16000000000000059E-7	1.48077175175276521E-1
3.16500000000000048E-7	1.21377144335639287E-1
3.17000000000000082E-7	9.58882524927684798E-2
3.17499999999999982E-7	7.18221899729095892E-2
3.18000000000000060E-7	4.91748595402811617E-2
3.18499999999999961E-7	2.77557305460910086E-2
3.19000000000000039E-7	7.23485407644984946E-3
3.19500000000000028E-7	-1.28164860693815830E-2
3.20000000000000018E-7	-3.30073107152988277E-2
3.20500000000000007E-7	-5.36737371856252388E-2
3.21000000000000085E-7	-7.50567473688554809E-2
3.21499999999999986E-7	-9.72611162925644024E-2
3.22000000000000020E-7	-1.20253068165563270E-1
3.22500000000000009E-7	-1.43876285698895501E-1
3.22999999999999998E-7	-1.67880456073472484E-1
3.23500000000000032E-7	-1.91954441874617743E-1
3.24000000000000066E-7	-2.15755501325979937E-1
3.24500000000000055E-7	-2.38921038406191633E-1
3.25000000000000000E-7	-2.61027290422072866E-1
3.25499999999999989E-7	-2.81685437159068952E-1
3.25999999999999979E-7	-3.00452245409742780E-1
3.26500000000000012E-7	-3.16785628335476765E-1
3.27000000000000046E-7	-3.30000491494102199E-1
3.27500000000000080E-7	-3.39237628898230836E-1
3.28000000000000069E-7	-3.43458555067290572E-1
