time	imag(VoutPA[1])
2.01000000000000023E-7	3.45790483353070499E-2
2.01500000000000012E-7	-1.91082890982499576E-2
2.02000000000000002E-7	-6.97561768498498225E-2
2.02500000000000036E-7	-1.18093354197886535E-1
2.03000000000000025E-7	-1.64303002192183878E-1
2.03500000000000059E-7	-2.06266735053522066E-1
2.04000000000000004E-7	-2.39051688643246596E-1
2.04499999999999993E-7	-2.56842355585958426E-1
2.05000000000000027E-7	-2.57461630149837140E-1
2.05499999999999972E-7	-2.44722457872082355E-1
2.06000000000000005E-7	-2.25064781528987456E-1
2.06500000000000039E-7	-2.03218833399748711E-1
2.07000000000000028E-7	-1.80933741502800283E-1
2.07500000000000062E-7	-1.57536017667929862E-1
2.08000000000000007E-7	-1.30317652370764425E-1
2.08500000000000041E-7	-9.42512715896421049E-2
2.08999999999999986E-7	-4.38497643232638268E-2
2.09499999999999975E-7	1.45750274985499995E-2
2.10000000000000053E-7	5.79578884940928241E-2
2.10499999999999998E-7	7.82276755389537115E-2
2.11000000000000032E-7	8.59442735050609130E-2
2.11499999999999977E-7	8.97517022708064438E-2
2.12000000000000011E-7	9.20915221488750646E-2
2.12500000000000000E-7	9.28397521093394396E-2
2.12999999999999989E-7	9.12703011101621264E-2
2.13500000000000068E-7	8.63058601505635004E-2
2.14000000000000012E-7	7.63202186300755869E-2
2.14500000000000046E-7	5.89691251483776213E-2
2.14999999999999947E-7	3.13161140144782824E-2
2.15500000000000025E-7	-9.02773865352137150E-3
2.16000000000000014E-7	-6.12215060151945423E-2
2.16500000000000004E-7	-1.18501996646465679E-1
2.17000000000000126E-7	-1.71282920874526767E-1
2.17499999999999982E-7	-2.14380529173434775E-1
2.18000000000000016E-7	-2.48166721650756061E-1
2.18500000000000050E-7	-2.74590604148046680E-1
2.19000000000000039E-7	-2.94875885649749758E-1
2.19500000000000028E-7	-3.09607647450248669E-1
2.19999999999999973E-7	-3.19257116062536417E-1
2.20500000000000007E-7	-3.24338262369949248E-1
2.21000000000000041E-7	-3.25278387617404841E-1
2.21499999999999986E-7	-3.22249900884366980E-1
2.21999999999999975E-7	-3.15021414193954730E-1
2.22499999999999964E-7	-3.02832723975694096E-1
2.22999999999999998E-7	-2.84277831961361471E-1
2.23500000000000032E-7	-2.57198000570499019E-1
2.24000000000000021E-7	-2.18940080605923537E-1
2.24500000000000011E-7	-1.68316478778336998E-1
2.25000000000000044E-7	-1.09326680622366923E-1
2.25499999999999989E-7	-5.11902900470607847E-2
2.26000000000000023E-7	-2.26339862232148903E-3
2.26500000000000057E-7	3.40939598982540559E-2
2.27000000000000046E-7	5.84525469190815361E-2
2.27500000000000080E-7	7.26006683093056626E-2
2.28000000000000025E-7	7.81895115991364964E-2
2.28500000000000014E-7	7.67897624100900167E-2
2.29000000000000004E-7	7.03567010603784304E-2
2.29499999999999993E-7	6.02667226417658153E-2
2.29999999999999982E-7	4.35351719550331406E-2
2.30499999999999972E-7	1.71434319113397904E-2
2.31000000000000050E-7	-1.12855828162760696E-2
2.31499999999999995E-7	-3.16271169834293797E-2
2.31999999999999984E-7	-4.04287343496172991E-2
2.32500000000000018E-7	-3.86057315112067290E-2
2.33000000000000007E-7	-2.77117668659670979E-2
2.33500000000000041E-7	-8.92675423889516750E-3
2.34000000000000030E-7	1.65933846390772133E-2
2.34499999999999975E-7	4.71912118002543579E-2
2.34999999999999964E-7	8.04696248983328211E-2
2.35499999999999998E-7	1.13519059081316032E-1
2.36000000000000076E-7	1.43539499620861233E-1
2.36500000000000021E-7	1.68385066992385690E-1
2.37000000000000011E-7	1.86837478067542473E-1
2.37500000000000044E-7	1.98595620577935961E-1
2.38000000000000034E-7	2.04083445847360601E-1
2.38499999999999979E-7	2.04243632941566489E-1
2.38999999999999968E-7	2.00402561552978575E-1
2.39500000000000002E-7	1.94219096033351168E-1
2.39999999999999991E-7	1.87650795651472602E-1
2.40500000000000025E-7	1.82693170136910910E-1
2.40999999999999925E-7	1.81093096391986363E-1
2.41500000000000048E-7	1.84025081195999118E-1
2.42000000000000037E-7	1.91837159395648471E-1
2.42499999999999982E-7	2.03989375966966069E-1
2.42999999999999972E-7	2.19204582625966671E-1
2.43500000000000005E-7	2.35770576251176278E-1
2.44000000000000039E-7	2.51866284819926634E-1
2.44499999999999984E-7	2.65798412977634735E-1
2.45000000000000062E-7	2.76086430839575137E-1
2.45500000000000007E-7	2.81453453423572508E-1
2.46000000000000041E-7	2.80636100679727507E-1
2.46500000000000030E-7	2.72158575022744120E-1
2.46999999999999975E-7	2.54076018648860469E-1
2.47499999999999964E-7	2.23808634709346910E-1
2.47999999999999998E-7	1.78421531473874451E-1
2.48500000000000032E-7	1.16413444635208796E-1
2.49000000000000066E-7	4.20555885656924744E-2
2.49499999999999922E-7	-3.22827290421091817E-2
2.50000000000000044E-7	-9.38278872318640289E-2
2.50500000000000078E-7	-1.38131271435830527E-1
2.50999999999999979E-7	-1.67048525446924678E-1
2.51500000000000012E-7	-1.83505936405186354E-1
2.52000000000000046E-7	-1.89253475033601881E-1
2.52499999999999991E-7	-1.84719173398347181E-1
2.52999999999999936E-7	-1.69205046317621455E-1
2.53500000000000059E-7	-1.40921174651521852E-1
2.54000000000000004E-7	-9.70387946979527172E-2
2.54499999999999993E-7	-3.45671630512990058E-2
2.54999999999999982E-7	4.57539233846451499E-2
2.55500000000000060E-7	1.32505553353024941E-1
2.56000000000000005E-7	2.06951121957583206E-1
2.56499999999999995E-7	2.59831236476585037E-1
2.57000000000000073E-7	2.94677262354985459E-1
2.57500000000000018E-7	3.18047826873241934E-1
2.57999999999999963E-7	3.34188397330218834E-1
2.58499999999999996E-7	3.45181425260602870E-1
2.58999999999999986E-7	3.52018914716069453E-1
2.59500000000000020E-7	3.55094565453940536E-1
2.60000000000000009E-7	3.54304870757280099E-1
2.60500000000000043E-7	3.49056629417305020E-1
2.61000000000000076E-7	3.38131023860059887E-1
2.61500000000000021E-7	3.19699417489822224E-1
2.62000000000000011E-7	2.91789458679673919E-1
2.62500000000000089E-7	2.53348778505314742E-1
2.62999999999999989E-7	2.05632048792147870E-1
2.63500000000000068E-7	1.53270435713175535E-1
